Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
946.5,312.5 | 947.791,312.737 | 948.791,00312.4 | 949.5,311.5 | yellow


Region: 16  | Segments: 94    | Area: 50616.556
S           | A               | B               | E           | Color
173.5,322.5 | 176.930,322.107 | 180.096,00322.8 | 183.0,324.5 | black
183.0,324.5 | 186.104,329.036 | 187.770,00334.0 | 188.0,339.5 | red
188.0,339.5 | 188.667,346.833 | 188.667,00354.2 | 188.0,361.5 | orange
188.0,361.5 | 183.899,374.907 | 180.899,00388.6 | 179.0,402.5 | yellow
179.0,402.5 | 177.661,423.961 | 178.661,00445.3 | 182.0,466.5 | green
182.0,466.5 | 184.346,471.513 | 188.013,00475.2 | 193.0,477.5 | blue
193.0,477.5 | 193.500,477.167 | 194.000,00476.8 | 194.5,476.5 | pink
194.5,476.5 | 198.064,463.345 | 200.731,00450.0 | 202.5,436.5 | red
202.5,436.5 | 208.130,437.482 | 213.130,00439.8 | 217.5,443.5 | orange
217.5,443.5 | 217.698,457.717 | 219.531,00471.7 | 223.0,485.5 | yellow
223.0,485.5 | 223.519,486.516 | 224.353,00487.2 | 225.5,487.5 | green
225.5,487.5 | 231.973,488.428 | 238.306,00489.9 | 244.5,492.0 | blue
244.5,492.0 | 246.500,492.667 | 248.500,00492.7 | 250.5,492.0 | pink
250.5,492.0 | 251.622,488.582 | 251.289,00485.2 | 249.5,482.0 | red
249.5,482.0 | 251.617,474.592 | 254.450,00467.4 | 258.0,460.5 | orange
258.0,460.5 | 259.333,459.833 | 260.667,00459.2 | 262.0,458.5 | yellow
262.0,458.5 | 267.544,460.071 | 273.044,00461.7 | 278.5,463.5 | green
278.5,463.5 | 277.182,472.273 | 274.848,00480.8 | 271.5,489.0 | blue
271.5,489.0 | 271.613,490.280 | 272.280,00491.1 | 273.5,491.5 | pink
273.5,491.5 | 284.246,494.883 | 295.246,00497.0 | 306.5,498.0 | red
306.5,498.0 | 320.496,498.500 | 334.496,00498.7 | 348.5,498.5 | orange
348.5,498.5 | 349.240,490.188 | 349.573,00481.9 | 349.5,473.5 | yellow
